Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
3,30,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,31,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,32,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,33,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,34,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,35,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,36,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,37,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,38,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,39,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,40,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,41,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,42,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,43,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,44,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,45,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,46,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
3,47,0.9809523809523809,0.9824175824175825,103,0,15,0,0.3672231692762259
3,48,0.9809523809523809,0.9824175824175825,103,0,15,0,0.3672231692762259
3,49,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,50,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,51,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,52,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,53,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,54,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,55,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,56,0.978021978021978,0.9798534798534799,89,0,14,0,0.35000851933937926
3,57,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,58,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,59,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,60,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,61,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,62,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,63,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,64,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,65,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,66,0.989010989010989,0.989010989010989,90,0,14,0,0.35000851933937926
3,67,1.0,1.0,91,0,14,0,0.35000851933937926
3,68,1.0,1.0,91,0,14,0,0.35000851933937926
3,69,1.0,1.0,91,0,14,0,0.35000851933937926
3,70,1.0,1.0,91,0,14,0,0.35000851933937926
3,71,1.0,1.0,91,0,14,0,0.35000851933937926
3,72,1.0,1.0,91,0,14,0,0.35000851933937926
3,73,1.0,1.0,91,0,14,0,0.35000851933937926
3,74,1.0,1.0,91,0,14,0,0.35000851933937926
